Series Name,Series Code,Country Name,Country Code,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bank cost to income ratio (%),GFDD.EI.07,Ghana,GHA,..,..,52.92788,47.78362,47.62282,50.88151,52.55402,52.20442,52.68296,51.00008,48.05428,45.44666
Bank cost to income ratio (%),GFDD.EI.07,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Greece,GRC,..,..,57.1379,74.10339,63.54245,60.95477,49.64203,54.42789,62.00439,55.30737,43.91217,54.13991
Bank cost to income ratio (%),GFDD.EI.07,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Guatemala,GTM,..,84.22927,62.85929,62.09391,61.47079,59.39894,60.15471,59.86082,58.97538,55.96078,52.27627,54.99342
Bank cost to income ratio (%),GFDD.EI.07,Guinea,GIN,..,..,80.47456,65.03316,..,64.98254,59.29525,63.67334,54.48982,51.93344,55.49602,..
Bank cost to income ratio (%),GFDD.EI.07,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Guyana,GUY,..,65.63429,45.09913,42.89807,43.41406,40.97275,44.81853,46.82761,48.83246,47.47573,49.48366,46.07069
Bank cost to income ratio (%),GFDD.EI.07,Haiti,HTI,..,..,71.52032,68.63046,67.43862,60.60493,52.65997,46.02456,66.55892,63.60771,70.0374,55.41357
Bank cost to income ratio (%),GFDD.EI.07,Honduras,HND,..,48.54424,66.05145,66.83739,66.04077,70.50159,66.27522,62.92972,63.33582,63.57626,66.7751,63.84793
Bank cost to income ratio (%),GFDD.EI.07,"Hong Kong SAR, China",HKG,..,61.13927,70.19505,69.46464,70.34007,39.68509,40.34141,40.38702,39.9056,40.24804,44.84435,50.55963
Bank cost to income ratio (%),GFDD.EI.07,Hungary,HUN,..,69.93597,78.85062,77.75349,71.95315,75.15308,66.81904,57.52007,63.07199,62.38654,69.12386,63.86346
Bank cost to income ratio (%),GFDD.EI.07,Iceland,ISL,..,76.90157,39.81566,..,55.08544,5.032482,53.51679,58.78175,60.91218,57.20459,51.46083,46.4952
Bank cost to income ratio (%),GFDD.EI.07,India,IND,..,59.46691,44.24527,45.80423,47.3774,47.23968,45.48896,47.65971,49.11304,46.03014,45.35885,47.81551
Bank cost to income ratio (%),GFDD.EI.07,Indonesia,IDN,..,59.76155,48.38268,47.09159,47.97532,47.96688,46.65919,47.00411,46.62877,46.58748,47.77774,47.21756
Bank cost to income ratio (%),GFDD.EI.07,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Iraq,IRQ,..,..,29.76679,32.39917,41.54796,24.77364,23.47932,26.14687,32.76075,17.97698,9.861906,92.40756
Bank cost to income ratio (%),GFDD.EI.07,Ireland,IRL,..,14.7541,..,..,..,38.94374,52.93695,52.30259,52.35569,49.56351,..,..
Bank cost to income ratio (%),GFDD.EI.07,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Israel,ISR,..,68.43626,68.57507,69.48417,72.49072,65.43394,67.07117,65.54425,64.27173,60.80577,57.77971,53.8779
Bank cost to income ratio (%),GFDD.EI.07,Italy,ITA,..,61.52906,67.8876,81.76258,65.64462,71.57465,79.52383,59.95825,67.53194,69.78554,80.19948,59.04476
Bank cost to income ratio (%),GFDD.EI.07,Jamaica,JAM,..,..,70.21402,75.39099,67.29679,71.26264,68.6571,69.17896,68.09328,67.6457,68.44395,67.27142
Bank cost to income ratio (%),GFDD.EI.07,Japan,JPN,..,61.75456,61.47484,60.47351,61.70309,59.42115,63.59904,64.73655,66.23041,65.09807,65.3117,60.57468
Bank cost to income ratio (%),GFDD.EI.07,Jordan,JOR,..,54.44235,42.7379,44.03226,55.78387,57.43716,52.42333,46.90515,48.22119,47.49821,50.57423,49.54811
Bank cost to income ratio (%),GFDD.EI.07,Kazakhstan,KAZ,..,59.62965,51.56654,43.26982,44.88598,36.66365,48.02248,34.73603,35.02988,28.13632,28.10134,29.9375
Bank cost to income ratio (%),GFDD.EI.07,Kenya,KEN,..,63.47984,51.38866,49.14293,49.79905,49.7412,47.97709,47.27197,46.8247,48.87175,47.48052,42.18051
Bank cost to income ratio (%),GFDD.EI.07,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,"Korea, Dem. Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,"Korea, Rep.",KOR,..,44.73806,52.81144,58.17392,60.42955,73.85777,71.37176,64.71848,64.36111,61.96672,62.85096,63.73619
Bank cost to income ratio (%),GFDD.EI.07,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Kuwait,KWT,..,31.41994,31.26437,32.00431,31.57895,35.04898,37.12468,35.13013,34.15456,35.91912,39.09236,40.8289
Bank cost to income ratio (%),GFDD.EI.07,Kyrgyz Republic,KGZ,..,..,60.96494,63.75142,57.43611,67.00947,77.26326,76.23026,76.34722,72.9452,66.89262,67.77655
Bank cost to income ratio (%),GFDD.EI.07,Lao PDR,LAO,..,..,69.05283,57.60028,66.15778,52.41098,52.05774,49.49446,46.36174,47.62519,49.56552,74.67673
Bank cost to income ratio (%),GFDD.EI.07,Latvia,LVA,..,69.01066,49.81132,48.57793,48.70641,45.87095,43.8886,59.44423,61.13391,67.09081,80.01334,59.98997
Bank cost to income ratio (%),GFDD.EI.07,Lebanon,LBN,..,54.41302,53.1501,52.4873,52.586,49.95911,43.95026,49.21136,49.21886,52.4954,38.93852,..
Bank cost to income ratio (%),GFDD.EI.07,Lesotho,LSO,..,50.87719,55.81835,51.94133,51.12903,53.62169,54.5742,61.47642,60.83705,58.86115,65.32584,77.62871
Bank cost to income ratio (%),GFDD.EI.07,Liberia,LBR,..,..,..,..,..,101.6932,79.85026,74.31378,68.15492,73.16127,74.5118,55.8589
Bank cost to income ratio (%),GFDD.EI.07,Libya,LBY,..,..,48.09206,39.74174,86.98299,65.0774,62.45269,63.6963,51.07785,61.576,28.91199,..
Bank cost to income ratio (%),GFDD.EI.07,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Lithuania,LTU,..,78.28014,58.38864,53.15128,53.52713,51.61684,46.43546,48.4408,46.94193,41.47178,43.66683,46.61365
Bank cost to income ratio (%),GFDD.EI.07,Luxembourg,LUX,..,44.73966,52.41156,54.08612,51.80172,56.77106,54.31609,61.56195,65.71241,61.94078,63.71431,64.49622
Bank cost to income ratio (%),GFDD.EI.07,"Macao SAR, China",MAC,..,44.4668,50.4858,41.09513,38.20621,32.37824,30.02259,30.09282,30.7136,28.25705,28.18288,29.6504
Bank cost to income ratio (%),GFDD.EI.07,Madagascar,MDG,..,52.57278,64.55578,61.66614,56.41025,51.70395,53.49884,50.73354,50.15565,49.59255,52.47746,..
Bank cost to income ratio (%),GFDD.EI.07,Malawi,MWI,..,43.50616,46.51811,43.97132,47.37125,56.82316,58.17339,60.4986,63.68779,58.90469,56.54998,51.99735
Bank cost to income ratio (%),GFDD.EI.07,Malaysia,MYS,..,38.74755,37.85443,37.41228,39.14193,46.10257,43.11071,42.56729,42.70859,42.88242,46.89035,43.42987
Bank cost to income ratio (%),GFDD.EI.07,Maldives,MDV,..,..,..,..,..,..,25.9999,27.43938,26.33056,26.19802,27.57257,..
Bank cost to income ratio (%),GFDD.EI.07,Mali,MLI,..,67.61108,67.43446,68.4597,67.362,63.24656,64.00502,65.6302,72.43898,67.91374,58.35493,..
Bank cost to income ratio (%),GFDD.EI.07,Malta,MLT,..,47.57632,40.14137,45.3947,47.86954,53.0664,46.02362,56.1605,55.70074,61.71211,68.88193,76.12078
Bank cost to income ratio (%),GFDD.EI.07,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Mauritania,MRT,..,44.48443,67.18349,63.79024,60.01804,57.55634,63.36283,80.6767,78.46612,68.38277,50.1546,..
Bank cost to income ratio (%),GFDD.EI.07,Mauritius,MUS,..,..,37.20928,54.24166,52.21296,55.61066,51.89634,44.93136,40.48692,46.7825,54.50181,41.92232
Bank cost to income ratio (%),GFDD.EI.07,Mexico,MEX,..,69.37331,64.15266,66.19836,63.21152,54.90108,55.52037,51.98586,52.40375,52.84061,53.86494,54.41279
Bank cost to income ratio (%),GFDD.EI.07,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Moldova,MDA,..,45.03817,59.69696,62.41853,55.82072,44.29008,46.71431,54.26945,64.18113,57.72193,60.73557,57.55985
Bank cost to income ratio (%),GFDD.EI.07,Monaco,MCO,..,72.4138,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Mongolia,MNG,..,57.75176,48.54473,46.55097,..,53.40739,52.70956,47.07129,45.7293,49.36294,54.23158,46.42908
Bank cost to income ratio (%),GFDD.EI.07,Montenegro,MNE,..,..,71.31147,70.75953,74.29715,71.66542,71.1283,69.0176,65.8412,71.54071,67.67985,79.32852
Bank cost to income ratio (%),GFDD.EI.07,Morocco,MAR,..,60.11047,50.74551,49.40123,47.51799,45.12942,43.10886,47.98832,47.98868,48.06045,47.35988,47.0986
Bank cost to income ratio (%),GFDD.EI.07,Mozambique,MOZ,..,99.33629,65.34582,63.7139,61.04764,63.01212,56.71228,56.7404,59.50468,60.20659,63.51205,54.88834
Bank cost to income ratio (%),GFDD.EI.07,Myanmar,MMR,..,..,52.02087,52.5159,48.74835,78.44062,66.17699,80.8325,64.69924,66.90596,36.01706,52.81127
Bank cost to income ratio (%),GFDD.EI.07,Namibia,NAM,..,..,53.32138,53.10778,54.60821,49.12546,49.33204,48.14451,53.70533,52.23909,49.87709,53.63024
Bank cost to income ratio (%),GFDD.EI.07,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Nepal,NPL,..,35.59047,50.50289,45.30953,47.22304,47.39349,43.04682,40.24383,40.81807,41.0126,43.9048,44.46397
Bank cost to income ratio (%),GFDD.EI.07,Netherlands,NLD,..,52.04082,65.51872,67.9784,66.5845,59.97731,61.20184,54.17785,57.48624,54.2151,62.32028,61.15197
Bank cost to income ratio (%),GFDD.EI.07,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,New Zealand,NZL,..,..,47.38524,43.55503,42.63874,39.32122,41.40668,40.59649,39.16088,40.9011,46.19415,42.57052
Bank cost to income ratio (%),GFDD.EI.07,Nicaragua,NIC,..,63.71681,54.08842,53.4437,52.46589,52.54226,51.20291,51.42736,49.35149,49.08278,55.32464,57.65274
Bank cost to income ratio (%),GFDD.EI.07,Niger,NER,..,..,48.33685,44.10461,41.2125,51.32108,58.38731,62.43211,65.172,65.6581,..,..
Bank cost to income ratio (%),GFDD.EI.07,Nigeria,NGA,..,58.22858,61.36962,63.76931,62.08735,59.54843,51.14803,51.90541,59.39012,60.96111,61.26569,65.03506
Bank cost to income ratio (%),GFDD.EI.07,North Macedonia,MKD,..,57.23443,63.84493,58.70507,55.61159,51.0209,47.65509,46.39914,45.56144,48.59339,46.46188,48.54724
Bank cost to income ratio (%),GFDD.EI.07,Norway,NOR,..,60.84929,44.66559,43.33658,42.75665,39.95761,39.52474,42.58567,43.19855,36.87823,37.98814,42.08857
Bank cost to income ratio (%),GFDD.EI.07,Oman,OMN,..,47.95322,52.39437,55.58442,52.70589,45.24055,45.75225,47.04336,45.73329,46.10904,48.50684,48.57221
Bank cost to income ratio (%),GFDD.EI.07,Pakistan,PAK,..,60.63441,52.00542,55.81821,52.13189,46.00982,51.69136,56.05387,58.70341,56.96204,49.04466,51.55089
Bank cost to income ratio (%),GFDD.EI.07,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Panama,PAN,..,50.73825,50.17527,57.70709,55.8283,54.90521,54.18227,52.6666,52.11689,52.12624,52.73635,53.64866
Bank cost to income ratio (%),GFDD.EI.07,Papua New Guinea,PNG,..,..,37.58714,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Paraguay,PRY,..,100.643,64.16368,54.6252,53.1086,61.55632,56.59247,54.42566,52.14797,50.77717,53.12009,55.88763
Bank cost to income ratio (%),GFDD.EI.07,Peru,PER,..,66.88773,47.41834,46.40779,44.4261,45.74909,44.82463,46.25359,45.52094,44.37099,46.72885,49.1672
Bank cost to income ratio (%),GFDD.EI.07,Philippines,PHL,..,..,58.90714,55.72248,60.29829,59.63112,57.28712,57.40017,59.41967,54.28983,48.67928,51.93878
Bank cost to income ratio (%),GFDD.EI.07,Poland,POL,..,63.85542,52.3775,53.95393,51.60363,57.50844,52.74297,54.32699,53.14764,55.6595,71.23685,55.97986
Bank cost to income ratio (%),GFDD.EI.07,Portugal,PRT,..,69.6095,59.48038,89.72549,72.05037,60.05314,63.79849,56.22485,67.26073,59.62222,54.08128,57.88022
Bank cost to income ratio (%),GFDD.EI.07,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
Bank cost to income ratio (%),GFDD.EI.07,Qatar,QAT,..,36.15323,23.97875,27.32296,26.79114,27.81832,33.76116,31.4062,28.04465,27.14575,25.61493,24.16685
Bank cost to income ratio (%),GFDD.EI.07,Romania,ROU,..,57.76957,60.69417,58.11111,59.43898,66.6173,60.18108,62.45396,57.07321,65.52975,53.99604,54.3905
Bank cost to income ratio (%),GFDD.EI.07,Russian Federation,RUS,..,59.36146,89.56287,88.67815,91.00304,53.87557,56.79016,56.6183,48.23863,47.74981,46.09423,58.99556
Bank cost to income ratio (%),GFDD.EI.07,Rwanda,RWA,..,..,68.2947,81.82916,74.01498,64.17924,61.83108,60.45543,58.40851,50.6745,43.23888,42.96809
Bank cost to income ratio (%),GFDD.EI.07,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
